Count,Score,Section
10,200,Sports
10,205,Sports
20,235,Sports
10,240,Sports
10,250,Sports
10,265,Regular
10,275,Regular
30,285,Sports
10,295,Regular
10,300,Regular
20,300,Sports
10,305,Sports
10,305,Regular
10,310,Regular
10,310,Sports
20,320,Regular
10,305,Regular
10,315,Sports
20,320,Regular
10,325,Regular
10,325,Sports
20,330,Regular
10,330,Sports
30,335,Sports
10,335,Regular
20,340,Regular
10,340,Sports
30,350,Regular
20,360,Regular
10,360,Sports
20,365,Regular
20,365,Sports
10,370,Sports
10,370,Regular
20,375,Regular
10,375,Sports
20,380,Regular
10,395,Sports
